AÑO,RAMO_ID,RAMO,DENOMINACION, MONTO ,FACTOR, VALOR_REAL 
2024,16,Medio Ambiente y Recursos Naturales,Investigacion cientifica y tecnologica,"$216,643,869.00 ",1.36095,"$159,185,766.60 "
2024,16,Medio Ambiente y Recursos Naturales,"Investigacion en Cambio Climatico, sustentabilidad ambiental y crecimiento verde","$179,762,315.00 ",1.36095,"$132,085,906.90 "
2024,16,Medio Ambiente y Recursos Naturales,Normatividad Ambiental e Instrumentos de Fomento para el Desarrollo Sustentable,"$81,753,461.00 ",1.36095,"$60,070,877.70 "
2024,16,Medio Ambiente y Recursos Naturales,"Planeacion, Direccion y  Evaluacion Ambiental","$125,791,915.00 ",1.36095,"$92,429,490.43 "
2024,16,Medio Ambiente y Recursos Naturales,Programa de Conservacion para el Desarrollo Sostenible (PROCODES),"$154,720,550.00 ",1.36095,"$113,685,697.50 "
2024,16,Medio Ambiente y Recursos Naturales,Programa de apoyo a la infraestructura hidroagricola,"$1,699,700,357.00 ",1.36095,"$1,248,907,276.00 "
2024,16,Medio Ambiente y Recursos Naturales,Programa para la Protección y Restauración de Ecosistemas y Especies Prioritarias,"$116,071,614.00 ",1.36095,"$85,287,199.38 "
2024,16,Medio Ambiente y Recursos Naturales,Proteccion Forestal,"$1,488,488,417.00 ",1.36095,"$1,093,712,787.00 "
2024,16,Medio Ambiente y Recursos Naturales,Regulacion Ambiental,"$82,912,637.00 ",1.36095,"$60,922,618.02 "
2024,18,Energia,Actividades de apoyo administrativo,"$7,902,472.00 ",1.36095,"$5,806,585.11 "
2024,18,Energia,Conduccion de la politica energetica,"$55,275,644.00 ",1.36095,"$40,615,484.77 "
2024,18,Energia,Coordinacion de la politica energetica en electricidad ,"$4,237,476.00 ",1.36095,"$3,113,616.22 "
2024,18,Energia,Coordinacion de la politica energetica en hidrocarburos,"$7,070,755.00 ",1.36095,"$5,195,455.38 "
2024,18,Energia,"Gestion, promocion, supervision y evaluacion del aprovechamiento sustentable de la energia ","$68,040,617.00 ",1.36095,"$49,994,942.50 "
2024,18,Energia,Recursos destinados a la transicion e investigacion en materia energetica,"$286,191,729.00 ",1.36095,"$210,288,202.40 "
2024,20,Bienestar,Sembrando Vida,"$36,137,248,336.00 ",1.36095,"$26,552,958,107.00 "
2024,21,Turismo,Escalas náuticas en Mar de Cortés y otras unidades de negocios,"$211,289,550.00 ",1.36095,"$155,251,515.50 "
2024,21,Turismo,Desarrollo y promoción de proyectos turísticos sustentables,"$733,600.00 ",1.36095,"$539,035.23 "
2024,23,Provisiones Salariales y Economicas,Fondo de Desastres Naturales (FONDEN),"$17,984,761,420.00 ",1.36095,"$13,214,858,312.00 "
2024,23,Provisiones Salariales y Economicas,Fondo de Prevencion de Desastres Naturales (FOPREDEN),"$228,320,465.00 ",1.36095,"$167,765,505.70 "
2024,36,Seguridad y Proteccion Ciudadana,Coordinación del Sistema Nacional de Protección Civil,"$190,683,882.00 ",1.36095,"$140,110,865.20 "
